Interval=	0,001 s
ExcelDateTime=	4,6092631594186350e+004	11.03.2026 15:09:29,737701
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,457	-0,01136719	-0,0297828
0,458	0,01917969	-0,04041847
0,459	0,0234375	-0,0509608
0,46	-0,007226563	-0,06116295
0,461	-0,04546875	-0,07066937
0,462	-0,06011719	-0,07922491
0,463	-0,06539063	-0,08661103
0,464	-0,1224219	-0,09267385
0,465	-0,184375	-0,09732724
0,466	-0,1919531	-0,100553
0,467	-0,1822656	-0,1024488
0,468	-0,1823047	-0,1029527
0,469	-0,1945703	-0,1022313
0,47	-0,1683984	-0,1004491
0,471	-0,09820313	-0,0978125
0,472	-0,08808594	-0,09456796
0,473	-0,1277734	-0,09099929
0,474	-0,09945313	-0,08747488
0,475	-0,02199219	-0,0841576
0,476	0,01152344	-0,08141401
0,477	0,006796875	-0,07952547
0,478	-0,01	-0,07873367
0,479	-0,005039063	-0,07923554
0,48	0,03050781	-0,08117929
0,481	0,02675781	-0,08468281
0,482	-0,01839844	-0,08973059
0,483	-0,08753906	-0,09637056
0,484	-0,1619922	-0,1045583
0,485	-0,1635547	-0,114177
0,486	-0,1129688	-0,125033
0,487	-0,09816406	-0,1368554
0,488	-0,1428516	-0,1492928
0,489	-0,2256641	-0,1620112
0,49	-0,2939844	-0,1746785
0,491	-0,2910156	-0,1869554
0,492	-0,2671094	-0,1984894
0,493	-0,2924219	-0,2089131
0,494	-0,2973438	-0,2178498
0,495	-0,2663281	-0,2249252
0,496	-0,2741797	-0,2298469
0,497	-0,2576172	-0,2324218
0,498	-0,1639844	-0,2325122
0,499	-0,1200391	-0,2300331
0,5	-0,1816016	-0,2249548
0,501	-0,2463672	-0,2173111
0,502	-0,226875	-0,2072349
0,503	-0,1269922	-0,1948717
0,504	-0,04382813	-0,1805465
0,505	-0,03636719	-0,1645966
0,506	-0,0584375	-0,1473902
0,507	-0,06703125	-0,1293293
0,508	-0,06925781	-0,1108554
0,509	-0,1092188	-0,09245853
0,51	-0,1858203	-0,07462473
0,511	-0,2164844	-0,05784911
0,512	-0,1664063	-0,04257092
0,513	-0,09644531	-0,02917585
0,514	-0,04046875	-0,01799432
0,515	0,01222656	-0,00929956
0,516	0,03570313	-0,003227598
0,517	0,004101563	-0,0001399182
0,518	-0,04925781	-1,779183e-005
0,519	-0,065	-0,002834064
0,52	-0,05902344	-0,008474908
0,521	-0,05859375	-0,01673093
0,522	-0,01039063	-0,0272887
0,523	0,08167969	-0,03956288
0,524	0,1579297	-0,05357052
0,525	0,1590625	-0,06865662
0,526	0,04746094	-0,08431824
0,527	-0,098125	-0,1000351
0,528	-0,1778906	-0,115256
0,529	-0,1893359	-0,1293904
0,53	-0,1937109	-0,1416361
0,531	-0,2229687	-0,1519624
0,532	-0,2617578	-0,159738
0,533	-0,2937891	-0,1645871
0,534	-0,3100781	-0,1662064
0,535	-0,3260156	-0,1643546
0,536	-0,3246094	-0,1588518
0,537	-0,27375	-0,1494948
0,538	-0,1849609	-0,1365827
0,539	-0,04441406	-0,1201675
0,54	0,1420703	-0,1004702
0,541	0,2905078	-0,0777867
0,542	0,3138281	-0,05249185
0,543	0,2342969	-0,02504555
0,544	0,1308594	0,003983607
0,545	0,01597656	0,03406153
0,546	-0,04085938	0,06459103
0,547	-0,00640625	0,09500651
0,548	0,006289063	0,1247413
0,549	-0,002265625	0,1532095
0,55	0,01910156	0,179798
0,551	0,02082031	0,2037956
0,552	0,004882813	0,2249233
0,553	0,01070313	0,2427814
0,554	0,04847656	0,2571142
0,555	0,1573828	0,2677083
0,556	0,3264453	0,2743702
0,557	0,4682422	0,2769248
0,558	0,52375	0,2751638
0,559	0,491875	0,2693597
0,56	0,4248828	0,2597495
0,561	0,3686719	0,2466547
0,562	0,3397266	0,2303925
0,563	0,3324609	0,2112613
0,564	0,2986328	0,1895515
0,565	0,2236719	0,1655153
0,566	0,1407031	0,1397551
0,567	0,06882813	0,1128094
0,568	0,0178125	0,08519425
0,569	-0,02859375	0,05734832
0,57	-0,08929687	0,02963365
0,571	-0,1233594	0,002352104
0,572	-0,113125	-0,02431362
0,573	-0,1044531	-0,04984018
0,574	-0,09183594	-0,07401529
0,575	-0,09863281	-0,09663514
0,576	-0,1458203	-0,1175728
0,577	-0,1410156	-0,1367692
0,578	-0,1434766	-0,1542207
0,579	-0,2176953	-0,1701118
0,58	-0,2617969	-0,1841009
0,581	-0,2910547	-0,1964845
0,582	-0,3276562	-0,2074266
0,583	-0,3321484	-0,21709
0,584	-0,3121875	-0,2256294
0,585	-0,2637891	-0,2331933
0,586	-0,1901172	-0,2401175
0,587	-0,1026563	-0,2460324
0,588	-0,006523437	-0,2514011
0,589	0,05851563	-0,2564327
0,59	0,0378125	-0,2612664
0,591	-0,05003906	-0,2659743
0,592	-0,1395313	-0,2705761
0,593	-0,2232422	-0,2752367
0,594	-0,3172656	-0,2794515
0,595	-0,3886328	-0,283514
0,596	-0,3941406	-0,2874725
0,597	-0,3821094	-0,291311
0,598	-0,4305469	-0,2949552
0,599	-0,4745703	-0,2982916
0,6	-0,4503906	-0,3013132
0,601	-0,4492969	-0,3035856
0,602	-0,4912891	-0,3052546
0,603	-0,4616406	-0,306323
0,604	-0,3260938	-0,3067736
0,605	-0,1897656	-0,3065716
0,606	-0,1609766	-0,3056772
0,607	-0,2253516	-0,3041139
0,608	-0,3072266	-0,3017625
0,609	-0,3705469	-0,2987829
0,61	-0,3853125	-0,2952832
0,611	-0,3391406	-0,2913665
0,612	-0,2535938	-0,2871283
0,613	-0,1412891	-0,2826594
0,614	-0,06183594	-0,2780421
0,615	-0,06777344	-0,2734286
0,616	-0,1334766	-0,268959
0,617	-0,2019141	-0,2647642
0,618	-0,2145313	-0,2609502
0,619	-0,2240234	-0,257593
0,62	-0,2670703	-0,2547367
0,621	-0,3376172	-0,2523402
0,622	-0,463125	-0,2505772
0,623	-0,4981641	-0,249403
0,624	-0,4015625	-0,248799
0,625	-0,3466406	-0,248715
0,626	-0,3445313	-0,249065
0,627	-0,2696484	-0,2497258
0,628	-0,1232813	-0,2504608
0,629	-0,06441406	-0,2513526
0,63	-0,1128125	-0,2521845
0,631	-0,1701172	-0,2528165
0,632	-0,2090625	-0,2531059
0,633	-0,2028906	-0,2529044
0,634	-0,1891797	-0,2520584
0,635	-0,2160156	-0,2503343
0,636	-0,2370703	-0,2478524
0,637	-0,2374219	-0,2444537
0,638	-0,2480469	-0,2400863
0,639	-0,2915625	-0,2347235
0,64	-0,3498828	-0,2283629
0,641	-0,3488281	-0,2210266
0,642	-0,2762109	-0,2126977
0,643	-0,2300781	-0,2036612
0,644	-0,2551172	-0,1939599
0,645	-0,2687891	-0,1837212
0,646	-0,2340234	-0,1730892
0,647	-0,2125781	-0,1622248
0,648	-0,1980078	-0,1513049
0,649	-0,1416406	-0,1404594
0,65	-0,08195313	-0,1300559
0,651	-0,05660156	-0,1201926
0,652	-0,04070313	-0,1110153
0,653	-0,006523437	-0,1026565
0,654	0,025625	-0,09523623
0,655	0,02121094	-0,08885904
0,656	-0,001054688	-0,0835325
0,657	-0,03519531	-0,07952885
0,658	-0,07128906	-0,07675993
0,659	-0,06855469	-0,07519304
0,66	-0,04128906	-0,07477504
0,661	-0,00421875	-0,07543031
0,662	0,02617188	-0,07705574
0,663	-0,004882813	-0,0794123
0,664	-0,07652344	-0,08264474
0,665	-0,1347656	-0,08645704
0,666	-0,1936328	-0,09066277
0,667	-0,2578125	-0,09507883
0,668	-0,2927344	-0,09951912
0,669	-0,2888281	-0,1037877
0,67	-0,2658984	-0,1075628
0,671	-0,2311719	-0,1109883
0,672	-0,1835547	-0,1137793
0,673	-0,1376563	-0,1157949
0,674	-0,1066797	-0,1169199
0,675	-0,07753906	-0,117056
0,676	-0,04804688	-0,1161168
0,677	-0,0253125	-0,1139373
0,678	-0,002460938	-0,110749
0,679	0,00328125	-0,1064679
0,68	-0,01566406	-0,1011231
0,681	-0,05011719	-0,09476379
0,682	-0,06644531	-0,08745586
0,683	-0,01734375	-0,07928074
0,684	0,05082031	-0,07028953
0,685	0,05785156	-0,0607441
0,686	0,008710937	-0,05073194
0,687	-0,04214844	-0,04038519
0,688	-0,06957031	-0,02983692
0,689	-0,07453125	-0,01922498
0,69	-0,08023437	-0,008695286
0,691	-0,1079688	0,001615269
0,692	-0,09769531	0,01151024
0,693	-0,02886719	0,02089928
0,694	0,03101563	0,0296874
0,695	0,06460937	0,03778629
0,696	0,06535156	0,0451072
0,697	0,03789063	0,0515584
0,698	0,02796875	0,05706995
0,699	0,04195313	0,06152146
0,7	0,05195313	0,06494282
0,701	0,04691406	0,06734462
0,702	0,04859375	0,06873652
0,703	0,05894531	0,06912463
0,704	0,05570312	0,06851498
0,705	0,04402344	0,06696871
0,706	0,03597656	0,06439889
0,707	0,04410156	0,06096308
0,708	0,060625	0,0567604
0,709	0,06464844	0,05188122
0,71	0,0703125	0,04641192
0,711	0,08535156	0,04044394
0,712	0,0925	0,03414599
0,713	0,083125	0,0274601
0,714	0,04949219	0,02059924
0,715	0,009296875	0,01369801
0,716	0,01167969	0,006880708
0,717	0,03585937	0,0002689258
0,718	0,03910156	-0,006010205
0,719	0,04546875	-0,01177231
0,72	0,04160156	-0,01702783
0,721	0,005195313	-0,02162239
0,722	-0,03007813	-0,02546297
0,723	-0,04367187	-0,02846766
0,724	-0,03980469	-0,03056167
0,725	-0,04097656	-0,03167609
0,726	-0,06160156	-0,03174283
0,727	-0,08960938	-0,0307587
0,728	-0,1118359	-0,02873479
0,729	-0,1333984	-0,02569973
0,73	-0,1542578	-0,02169267
0,731	-0,1455469	-0,01676546
0,732	-0,08746094	-0,01098783
0,733	0,001171875	-0,004479278
0,734	0,05746094	0,00271195
0,735	0,0784375	0,01040944
0,736	0,1337891	0,01846498
0,737	0,18625	0,02672968
0,738	0,1402734	0,03504856
0,739	0,039375	0,04325461
0,74	-0,002929688	0,05113767
0,741	0,01875	0,05860517
0,742	0,06011719	0,0654741
0,743	0,1051563	0,07160748
0,744	0,1273438	0,07688283
0,745	0,1189453	0,08118817
0,746	0,1012891	0,08442069
0,747	0,08234375	0,08648839
0,748	0,05566406	0,08734552
0,749	0,03058594	0,08699442
0,75	0,03160156	0,08545661
0,751	0,04292969	0,08276999
0,752	0,038125	0,07898905
0,753	0,04332031	0,07418874
0,754	0,06410156	0,06849824
0,755	0,07253906	0,06197291
0,756	0,0815625	0,0548153
0,757	0,1010938	0,04719589
0,758	0,1048438	0,03928245
0,759	0,09042969	0,03124381
0,76	0,07925781	0,02325545
0,761	0,07449219	0,01553312
0,762	0,06683594	0,008172559
0,763	0,02300781	0,001376109
0,764	-0,06574219	-0,004710098
0,765	-0,1320703	-0,009963378
0,766	-0,1503906	-0,01428075
0,767	-0,1414063	-0,01757616
0,768	-0,1447656	-0,01978324
0,769	-0,1671875	-0,02085724
0,77	-0,08820313	-0,02080251
0,771	0,07402344	-0,01964356
0,772	0,1716797	-0,01742685
0,773	0,1770313	-0,01422144
0,774	0,088125	-0,01012132
0,775	-0,03148438	-0,00529341
0,776	-0,08179688	0,0002544481
0,777	-0,07328125	0,006316125
0,778	-0,00953125	0,0127344
0,779	0,09035156	0,01935188
0,78	0,1423828	0,02600475
0,781	0,1424219	0,0325171
0,782	0,1286328	0,03863597
0,783	0,1202734	0,04437245
0,784	0,1132422	0,04951387
0,785	0,06644531	0,05393332
0,786	0,008125	0,05752141
0,787	-0,02503906	0,06017929
0,788	-0,07019531	0,06181441
0,789	-0,1140625	0,06230489
0,79	-0,1078125	0,06170887
0,791	-0,04820312	0,05998434
0,792	0,02167969	0,0571436
