Interval=	0,001 s
ExcelDateTime=	4,6092614496418428e+004	11.03.2026 14:44:52,490552
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,649	-0,0334375	-0,03689239
0,65	-0,04070313	-0,03928651
0,651	-0,06355469	-0,04228215
0,652	-0,07800781	-0,04582588
0,653	-0,085625	-0,04980494
0,654	-0,07304687	-0,05411289
0,655	-0,02269531	-0,05863978
0,656	0,00875	-0,06327094
0,657	-0,01804688	-0,06788537
0,658	-0,03992188	-0,07234034
0,659	-0,04074219	-0,07655568
0,66	-0,08605469	-0,08040277
0,661	-0,1647266	-0,08378499
0,662	-0,1774609	-0,08662152
0,663	-0,1189453	-0,08884558
0,664	-0,07441406	-0,0904035
0,665	-0,07550781	-0,09125298
0,666	-0,0878125	-0,09138496
0,667	-0,07882812	-0,09080606
0,668	-0,07226563	-0,08954209
0,669	-0,0809375	-0,08763419
0,67	-0,08128906	-0,08513841
0,671	-0,07464844	-0,08212653
0,672	-0,07144531	-0,07870092
0,673	-0,06230469	-0,07492449
0,674	-0,05097656	-0,07092573
0,675	-0,03792969	-0,0668154
0,676	-0,0175	-0,06270048
0,677	-0,0446875	-0,05868579
0,678	-0,09769531	-0,05487588
0,679	-0,09621094	-0,05139017
0,68	-0,08367188	-0,04828208
0,681	-0,08578125	-0,04564964
0,682	-0,06773437	-0,04355717
0,683	-0,03863281	-0,04205126
0,684	-0,01726563	-0,04116225
0,685	-0,004023438	-0,04090531
0,686	-0,01152344	-0,04127688
0,687	-0,04867188	-0,04226897
0,688	-0,07605469	-0,04384204
0,689	-0,05992187	-0,04594819
0,69	-0,02398438	-0,04852787
0,691	-0,02121094	-0,051509
0,692	-0,0571875	-0,05480579
0,693	-0,09949219	-0,05829505
0,694	-0,1196094	-0,06194149
0,695	-0,08523438	-0,06561868
0,696	-0,034375	-0,06923028
0,697	-0,030625	-0,07268488
0,698	-0,05953125	-0,07589278
0,699	-0,07382813	-0,07876368
0,7	-0,05925781	-0,08118112
0,701	-0,04828125	-0,08314583
0,702	-0,05199219	-0,0845785
0,703	-0,05433594	-0,08544031
0,704	-0,06140625	-0,0857051
0,705	-0,09011719	-0,08535684
0,706	-0,1522656	-0,08438882
0,707	-0,2008203	-0,08279575
0,708	-0,1779297	-0,08062833
0,709	-0,1087109	-0,07792284
0,71	-0,06117188	-0,07473054
0,711	-0,06519531	-0,07110884
0,712	-0,05925781	-0,06712212
0,713	-0,007773438	-0,06284356
0,714	0,02203125	-0,05836636
0,715	-0,003632813	-0,0537521
0,716	-0,05070313	-0,04910046
0,717	-0,06550781	-0,04449479
0,718	-0,02582031	-0,04001431
0,719	0,001992188	-0,03573764
0,72	-0,02957031	-0,03174555
0,721	-0,05316406	-0,02813387
0,722	-0,02742188	-0,02493559
0,723	-0,01777344	-0,02221061
0,724	-0,03863281	-0,01999654
0,725	-0,03	-0,01832395
0,726	-0,002109375	-0,01721926
0,727	-0,002148438	-0,01670522
0,728	-0,01597656	-0,01679859
0,729	-0,02105469	-0,01749472
0,73	-0,03539063	-0,01875814
0,731	-0,05785156	-0,02055145
0,732	-0,06917969	-0,02283553
0,733	-0,06800781	-0,02556931
0,734	-0,05488281	-0,02870704
0,735	-0,03738281	-0,0321815
0,736	-0,02269531	-0,03596141
0,737	-0,008164062	-0,03994716
0,738	0,00109375	-0,04405945
0,739	-0,0096875	-0,04822464
0,74	-0,04117188	-0,05237217
0,741	-0,07230469	-0,05643108
0,742	-0,07820312	-0,06031605
0,743	-0,06019531	-0,06398689
0,744	-0,06007813	-0,06736546
0,745	-0,07394531	-0,07039566
0,746	-0,054375	-0,07303051
